Отметка времени,Сколько вам лет?,Ваш пол?,Я...,Где вы продвигаете свои товары?,Насколько тяжело находить клиентов?,"Хотели бы вы, чтобы о ваших товаров узнали как можно больше людей, в следствие чего увеличить продажи?",Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Где вы продвигаете свои  созданные товары?,Насколько тяжело находить клиентов?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок ?
2022-05-23 14:45:21.343000,27-40,Женский,Cоздаю товары своими ручками,"Etsy, Insagram",Терпимо. Каждую неделю получаю заказы,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-23 16:05:37.421000,19-24,Женский,Cоздаю товары своими ручками,Не продаю,Не продаю пока,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-23 16:46:45.778000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Тяжело. Раз в месяц,Редко,Редко,Нигде,Вообще не является проблемой
2022-05-23 17:27:15.519000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-23 17:31:17.021000,16-18,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-23 17:35:32.937000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Никогда,Никогда,не заказывал вообще,Вообще не является проблемой,None,None,None,None,None,None
2022-05-23 17:41:06.708000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-23 17:43:18.178000,40-60,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Ярмарка мастеров,Вообще не является проблемой,None,None,None,None,None,None
2022-05-23 18:45:57.168000,40-60,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Почти каждый месяц,Freelance,Очень тяжело,None,None,None,None,None,None
2022-05-23 21:04:25.808000,16-18,Мужской,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Freelance,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 08:27:12.463000,19-24,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-24 14:35:16.183000,19-24,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Тяжело. Раз в месяц,Почти каждый месяц,Редко,Instagram,Нахожу подарок достаточно быстро
2022-05-24 16:03:14.323000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 16:10:26.654000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Терпимо. Каждую неделю получаю заказы,Почти каждый месяц,Редко,Instagram,Вообще не является проблемой
2022-05-24 16:19:48.124000,19-24,Мужской,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 16:20:16.376000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Интернет,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 16:29:11.628000,19-24,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Никогда,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-24 16:30:33.726000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Почти каждый месяц,Pinterest,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-24 16:40:09.777000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждый месяц,Редко,"VK, Продовольственные рынки",Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 17:01:44.828000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Никогда,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-24 17:02:26.570000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Никогда,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-24 17:07:23.031000,19-24,Женский,Я люблю покупать себе товары ручной работы,None,None,None,Никогда,Freelance,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 17:14:46.471000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Никогда,Никогда,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 17:15:43.588000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Вообще не является проблемой,None,None,None,None,None,None
2022-05-24 17:16:10.811000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-24 17:16:57.340000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Очень тяжело,None,None,None,None,None,None
2022-05-24 17:17:53.822000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 17:21:11.919000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-24 17:22:43.402000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Никогда,Никогда,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-24 17:23:54.149000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждый месяц,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
